1; 0.185132
2; 0.1201
3; 0.0750236
4; 0.0630567
5; 0.0449959
6; 0.0339526
7; 0.0280774
8; 0.0237909
9; 0.0224808
10; 0.0209823
11; 0.0204827
12; 0.0200978
13; 0.0197931
14; 0.0194871
15; 0.0186484
16; 0.0168958
17; 0.0136801
18; 0.011267
19; 0.008778
20; 0.00667981
21; 0.00541297
22; 0.00430266
23; 0.00336853
24; 0.0022562
25; 0.0014062
26; 0.00102735
27; 0.000734414
28; 0.000460473
29; 0.000268988
30; 0.000164754
31; 0.00013878
32; 0.000113889
33; 9.00176e-05
34; 7.40397e-05
35; 5.76952e-05
36; 3.73439e-05
37; 1.86023e-05
38; 9.77154e-06
39; 5.57185e-06
40; 3.75414e-06
41; 3.05524e-06
42; 2.62387e-06
43; 2.04832e-06
44; 1.36958e-06
45; 8.13388e-07
46; 5.31419e-07
47; 3.78254e-07
48; 2.32951e-07
49; 1.06298e-07
50; 4.37609e-08
51; 2.10812e-08
52; 1.27361e-08
53; 8.00437e-09
54; 5.59479e-09
55; 3.8362e-09
56; 2.58323e-09
57; 1.68771e-09
58; 8.72551e-10
59; 4.44496e-10
60; 2.77157e-10
61; 1.74514e-10
62; 9.6429e-11
63; 4.30449e-11
64; 2.09252e-11
65; 1.29607e-11
