0 0.000061
1 0.000102
2 0.000113
3 0.000122
4 0.000133
5 0.000161
6 0.000175
7 0.000229
8 0.000279
9 0.000344
10 0.000380
11 0.000473
12 0.000564
13 0.000611
14 0.000620
15 0.000633
16 0.000680
17 0.000737
18 0.000788
19 0.000856
20 0.000908
21 0.000922
22 0.000952
23 0.001042
24 0.001109
25 0.001160
26 0.001228
27 0.001249
28 0.001262
29 0.001402
30 0.001499
31 0.001686
32 0.001714
33 0.001725
34 0.001731
35 0.001778
36 0.001806
37 0.001861
38 0.001891
39 0.001927
40 0.001969
41 0.001996
42 0.002027
43 0.002076
44 0.002131
45 0.002163
46 0.002209
47 0.002246
48 0.002332
49 0.002382
50 0.002412
51 0.002480
52 0.002515
53 0.002564
54 0.002597
55 0.002634
56 0.002646
57 0.002676
58 0.002689
59 0.002720
60 0.002751
61 0.002783
62 0.002819
63 0.002854
64 0.002897
65 0.002945
66 0.003008
67 0.003110
68 0.003123
69 0.003138
70 0.003151
71 0.003242
72 0.003256
73 0.003275
74 0.003318
75 0.003357
76 0.003378
77 0.003390
78 0.003400
79 0.003419
80 0.003433
81 0.003447
82 0.003458
83 0.003471
84 0.003484
85 0.003496
86 0.003507
87 0.003519
88 0.003539
89 0.003552
90 0.003617
91 0.003633
92 0.003705
93 0.003717
94 0.003733
95 0.003744
96 0.003757
97 0.003772
98 0.003790
99 0.003803
